CRASH_ID,CRASH_DATE,CRASH_TIME,SEVERITY,CRASH_TYPE,CYCLISTS,CYCLIST_CASUALTIES,REPORTED_LOCATION,LATITUDE,LONGITUDE,LOCATION_1
1081257,02 March 2014,08:30,Injury,Overturned (On Road),1,1,CRESWELL STREET (CONSTITUTION -> GETTING),-35.290862,149.144379,"(-35.290862, 149.144379)"
1138038,15 June 2016,08:00,Property Damage Only,Same direction side swipe,1,0,BATMAN/LIMESTONE/QUICK INTERSECTION,-35.275055,149.143474,"(-35.275055, 149.143474)"
1136045,01 June 2016,09:05,Injury,Other - Vehicle to Vehicle,1,1,GOODWIN STREET (MURDOCH -> FOX),-35.253827,149.130427,"(-35.253827, 149.130427)"
1155530,01 March 2017,18:30,Property Damage Only,Right angle collision,1,0,COMMONWEALTH/CORONATION/QUEEN VICTORIA INTERSECTION,-35.300837,149.125722,"(-35.300837, 149.125722)"
1040139,29 January 2012,13:50,Property Damage Only,Other - Vehicle to Vehicle,1,0,ALLAWOONA/GINNINDERRA/WANDERLIGHT INTERSECTION,-35.233578,149.087334,"(-35.233578, 149.087334)"
1028774,24 February 2012,05:50,Property Damage Only,Right angle collision,1,0,MOORE/RUDD INTERSECTION,-35.277009,149.128071,"(-35.277009, 149.128071)"
1129004,11 February 2016,08:30,Property Damage Only,Same direction side swipe,1,0,BROUGHTON/MACQUARIE INTERSECTION,-35.305833,149.134946,"(-35.305833, 149.134946)"
1164173,02 July 2017,08:50,Injury,Rear end collision,1,1,ANTILL STREET (FISON -> KNOX),-35.24192,149.162479,"(-35.24192, 149.162479)"
1078008,03 December 2013,08:56,Injury,Other - Vehicle to Vehicle,1,1,ALPEN STREET (CLIFFORD -> BADDELEY),-35.205588,149.062183,"(-35.205588, 149.062183)"
1146605,18 September 2016,18:15,Injury,Right angle collision,1,1,COLLINGS/JULIUS (SW) INTERSECTION,-35.358827,149.082437,"(-35.358827, 149.082437)"
1109869,06 May 2015,17:25,Injury,Right angle collision,1,1,FLINDERS/MONARO INTERSECTION,-35.32839,149.127728,"(-35.32839, 149.127728)"
1102117,11 January 2015,11:40,Injury,Right angle collision,1,1,STONEHAVEN/MELBOURNE/GOWRIE INTERSECTION,-35.319386,149.114227,"(-35.319386, 149.114227)"
1081439,13 February 2014,20:20,Property Damage Only,Other - Vehicle to Vehicle,1,0,BERRIGAN/DE BURGH/WATTLE (SW) INTERSECTION,-35.258957,149.130525,"(-35.258957, 149.130525)"
1124722,26 November 2015,19:15,Property Damage Only,Other - Vehicle to Vehicle,1,0,MAJURA AVENUE (OFFICER -> DUTTON),-35.251134,149.153883,"(-35.251134, 149.153883)"
1110847,12 May 2015,18:55,Property Damage Only,Other - Vehicle to Vehicle,1,0,BARRY DRIVE (WATSON -> MARCUS CLARKE),-35.275364,149.12591,"(-35.275364, 149.12591)"
1141657,18 August 2016,08:10,Property Damage Only,Right angle collision,1,0,NORTHCOTT/TOBRUK INTERSECTION,-35.290923,149.16385,"(-35.290923, 149.16385)"
1058132,27 March 2013,16:13,Injury,Other - Vehicle to Vehicle,1,1,DALEY ROAD (DICKSON -> SULLIVANS),-35.278534,149.115139,"(-35.278534, 149.115139)"
