ID,Name,Average User Rating,User Rating Count,Price,In-app Purchases,Developer,Age Rating,Languages,Size,Primary Genre,Genres,Original Release Date,Current Version Release Date,,,,,,,,,,,,,,,,,,,,
307132353,"""Sally's Spa""",4.5,35199,2.99,,Games Cafe Inc.,4+,"EN, FR, DE, IT, ES",500501504,Games,"Games, Strategy, Entertainment, Action",8/04/2009,11/09/2017,,,,,,,,,,,,,,,,,,,,
307219373,Port Defender\xae Lite - 2D Field Defense,3,5013,0,,Michael Fuller,9+,EN,54787072,Games,"Games, Strategy, Action, Entertainment",27/03/2009,23/03/2016,,,,,,,,,,,,,,,,,,,,
307538288,"""Tap 'n' Pop Classic: Balloon Group Remove""",3.5,1119,2.99,,"Software River Solutions, Inc",4+,EN,8881152,Games,"Games, Entertainment, Strategy, Puzzle",27/03/2009,16/08/2017,,,,,,,,,,,,,,,,,,,,
307662507,Conquest (+ all maps),3.5,2606,4.99,,"""Sean O'Connor""",9+,EN,107105280,Games,"Games, Board, Strategy",27/03/2009,15/12/2017,,,,,,,,,,,,,,,,,,,,
308032437,Shredder Chess,4.5,863,3.99,,"Eiko Bleicher, Skizzix.com",4+,"EN, DE",33033216,Games,"Games, Board, Education, Strategy",27/03/2009,16/10/2016,,,,,,,,,,,,,,,,,,,,
308608974,Wordology Lite,3,1926,0,,Cerebral Gardens,4+,EN,108253184,Games,"Games, Strategy, Entertainment, Word",27/03/2009,7/12/2017,,,,,,,,,,,,,,,,,,,,
308834118,"Gomoku Free (\u4e94\u5b50\u68cb, \u4e94\u76ee\u4e26\u3079, \uc624\ubaa9)",2.5,1848,0,,Savy Soda,4+,"ZH, EN",1326164,Games,"Games, Strategy, Board",27/03/2009,21/12/2010,,,,,,,,,,,,,,,,,,,,
309225116,"""Tap 'n' Pop Classic (Lite): Balloon Group Remove""",3,24821,0,,"Software River Solutions, Inc",4+,EN,14717952,Games,"Games, Entertainment, Puzzle, Strategy",28/03/2009,17/08/2017,,,,,,,,,,,,,,,,,,,,
309399343,Tournament Reversi Free,3.5,2503,0,,Futrell Software,4+,EN,2582857,Games,"Games, Board, Strategy, Entertainment",27/03/2009,18/07/2010,,,,,,,,,,,,,,,,,,,,
310251116,Bloons,4,16693,0.99,,Ninja Kiwi,4+,EN,5500291,Games,"Games, Strategy, Puzzle",14/04/2009,7/02/2012,,,,,,,,,,,,,,,,,,,,
311395856,Chess \u2219,3.5,191081,0,,Optime Software LLC,4+,EN,65303552,Games,"Games, Strategy, Entertainment, Board",18/04/2009,27/06/2018,,,,,,,,,,,,,,,,,,,,
311395924,Chess Premium,4,2767,1.99,,Optime Software LLC,4+,EN,30746624,Games,"Games, Entertainment, Board, Strategy",23/04/2009,28/09/2017,,,,,,,,,,,,,,,,,,,,
311456818,UniWar: Multiplayer Strategy,3.5,14073,0,"9.99, 2.99, 4.99, 19.99, 5.49, 23.49, 49.99, 36.99, 13.99, 99.99",SH Limited,9+,"AR, ZH, CS, EN, FR, DE, IT, JA, PL, PT, RU, ES, TR",115074048,Games,"Games, Entertainment, Strategy, Role Playing",14/04/2009,24/07/2019,,,,,,,,,,,,,,,,,,,,
